gene_id,gene_symbol,chromosome,start_pos,end_pos
Gene_664,GENE664,chr11,88368,148502
Gene_665,GENE665,chr2,61993,120276
Gene_666,GENE666,chr19,10487,159502
Gene_667,GENE667,chr3,58034,169570
Gene_668,GENE668,chr15,62780,119000
Gene_669,GENE669,chr2,72290,132165
Gene_670,GENE670,chr1,54808,163909
Gene_671,GENE671,chr4,18050,136039
Gene_672,GENE672,chr6,20128,102718
Gene_673,GENE673,chr12,13117,108246
Gene_674,GENE674,chr6,40781,169258
Gene_675,GENE675,chr12,95955,158314
Gene_676,GENE676,chr1,23074,137916
Gene_677,GENE677,chr20,92485,111344
Gene_678,GENE678,chr11,42153,147195
Gene_679,GENE679,chr8,75825,173752
Gene_680,GENE680,chr20,42766,156816
Gene_681,GENE681,chr5,24959,165866
Gene_682,GENE682,chr21,28775,165317
Gene_683,GENE683,chr10,93183,108575
Gene_684,GENE684,chr17,69502,192471
Gene_685,GENE685,chr16,55216,173330
Gene_686,GENE686,chr3,5788,128210
Gene_687,GENE687,chr17,12310,178603
Gene_688,GENE688,chr17,38110,132639
Gene_689,GENE689,chr20,58994,124003
Gene_690,GENE690,chr15,29649,125262
Gene_691,GENE691,chr15,57526,105720
Gene_692,GENE692,chr22,55127,136362
Gene_693,GENE693,chr6,31184,147260
Gene_694,GENE694,chr10,3079,111429
Gene_695,GENE695,chr13,69281,164222
Gene_696,GENE696,chr3,9559,130015
Gene_697,GENE697,chr13,71510,131414
Gene_698,GENE698,chr5,77143,152689
Gene_699,GENE699,chr17,15504,114874
Gene_700,GENE700,chr18,5659,122821
Gene_701,GENE701,chr10,32201,182677
Gene_702,GENE702,chr11,66175,114710
Gene_703,GENE703,chr9,2899,179709
Gene_704,GENE704,chr8,32194,135594
Gene_705,GENE705,chr1,75895,120796
Gene_706,GENE706,chr19,85250,132864
Gene_707,GENE707,chr10,40661,156674
Gene_708,GENE708,chr14,66119,185896
Gene_709,GENE709,chr16,36546,148155
Gene_710,GENE710,chr2,61126,179518
Gene_711,GENE711,chr9,57439,126538
Gene_712,GENE712,chr2,61400,151819
Gene_713,GENE713,chr11,32844,182478
Gene_714,GENE714,chr13,86766,128735
Gene_715,GENE715,chr11,88694,154702
Gene_716,GENE716,chr17,19821,160606
Gene_717,GENE717,chr16,70920,197732
Gene_718,GENE718,chr9,78322,189107
Gene_719,GENE719,chr18,43512,171417
Gene_720,GENE720,chr10,88534,162218
Gene_721,GENE721,chr4,76840,129160
Gene_722,GENE722,chr14,48572,164089
Gene_723,GENE723,chr6,3363,180635
Gene_724,GENE724,chr16,72517,192899
Gene_725,GENE725,chr21,28921,138943
Gene_726,GENE726,chr1,79108,172028
Gene_727,GENE727,chr5,62613,109455
Gene_728,GENE728,chr7,70143,193491
Gene_729,GENE729,chr5,12321,103000
Gene_730,GENE730,chr11,59591,149941
Gene_731,GENE731,chr2,33324,134111
Gene_732,GENE732,chr18,80131,190293
Gene_733,GENE733,chr17,56531,142758
Gene_734,GENE734,chr16,15842,107257
Gene_735,GENE735,chr17,88068,175361
Gene_736,GENE736,chr18,65953,128581
Gene_737,GENE737,chr1,22037,126109
Gene_738,GENE738,chr13,69500,175839
Gene_739,GENE739,chr17,24142,105777
Gene_740,GENE740,chr13,67318,129418
Gene_741,GENE741,chr18,41263,108969
Gene_742,GENE742,chr20,38119,129388
Gene_743,GENE743,chr1,26683,197968
Gene_744,GENE744,chr4,68842,180085
Gene_745,GENE745,chr4,87784,179853
Gene_746,GENE746,chr3,76153,159255
Gene_747,GENE747,chr20,66762,192837
Gene_748,GENE748,chr18,8831,189657
Gene_749,GENE749,chr7,34897,115501
Gene_750,GENE750,chr18,72860,187420
Gene_751,GENE751,chr7,18094,127354
Gene_752,GENE752,chr14,45760,114783
Gene_753,GENE753,chr3,35272,118664
Gene_754,GENE754,chr20,81962,171799
Gene_755,GENE755,chr5,59478,148236
Gene_756,GENE756,chr10,18700,170756
Gene_757,GENE757,chr7,99492,166966
Gene_758,GENE758,chr14,64253,189445
Gene_759,GENE759,chr9,3580,178221
Gene_760,GENE760,chr19,13198,162312
Gene_761,GENE761,chr4,16445,125971
Gene_762,GENE762,chr21,37047,184303
Gene_763,GENE763,chr16,7772,122859
Gene_764,GENE764,chr8,69844,147181
Gene_765,GENE765,chr5,28398,142599
Gene_766,GENE766,chr4,22694,194086
Gene_767,GENE767,chr20,74167,166338
Gene_768,GENE768,chr17,56470,180609
Gene_769,GENE769,chr6,28203,163013
Gene_770,GENE770,chr7,84522,162268
Gene_771,GENE771,chr5,17970,133859
Gene_772,GENE772,chr4,29761,150108
Gene_773,GENE773,chr8,62132,150316
Gene_774,GENE774,chr10,15288,104411
Gene_775,GENE775,chr10,15950,128228
Gene_776,GENE776,chr11,18235,131124
Gene_777,GENE777,chr19,82443,184885
Gene_778,GENE778,chr17,37559,131373
Gene_779,GENE779,chr22,19481,184211
Gene_780,GENE780,chr12,86639,194952
Gene_781,GENE781,chr13,94660,181557
Gene_782,GENE782,chr15,6159,130013
Gene_783,GENE783,chr15,58741,166629
Gene_784,GENE784,chr20,44349,185192
Gene_785,GENE785,chr2,93789,125287
Gene_786,GENE786,chr12,76278,138335
Gene_787,GENE787,chr3,14962,126531
Gene_788,GENE788,chr9,95544,146997
Gene_789,GENE789,chr6,41512,161066
Gene_790,GENE790,chr10,42464,170416
Gene_791,GENE791,chr19,89656,182112
Gene_792,GENE792,chr3,39824,113613
Gene_793,GENE793,chr14,79530,175361
Gene_794,GENE794,chr22,42234,126901
Gene_795,GENE795,chr22,43416,104991
Gene_796,GENE796,chr4,49004,115968
Gene_797,GENE797,chr14,96730,130113
Gene_798,GENE798,chr15,1024,115042
Gene_799,GENE799,chr21,94356,166379
Gene_800,GENE800,chr14,53084,189804
Gene_801,GENE801,chr4,82057,184405
Gene_802,GENE802,chr14,4073,198996
Gene_803,GENE803,chr4,92251,141587
Gene_804,GENE804,chr15,55707,192325
Gene_805,GENE805,chr8,1427,164863
Gene_806,GENE806,chr22,80858,153832
Gene_807,GENE807,chr22,7620,149387
Gene_808,GENE808,chr10,30792,138943
Gene_809,GENE809,chr17,68376,126439
Gene_810,GENE810,chr4,24532,195543
Gene_811,GENE811,chr6,52772,192364
Gene_812,GENE812,chr16,48286,160271
Gene_813,GENE813,chr11,97972,133981
Gene_814,GENE814,chr17,12259,158731
Gene_815,GENE815,chr22,81475,145915
Gene_816,GENE816,chr20,73051,196495
Gene_817,GENE817,chr19,24564,182517
Gene_818,GENE818,chr8,65555,139077
Gene_819,GENE819,chr15,76662,158206
Gene_820,GENE820,chr5,61607,135504
Gene_821,GENE821,chr10,30390,113246
Gene_822,GENE822,chr6,72006,153037
Gene_823,GENE823,chr21,8574,155202
Gene_824,GENE824,chr22,59600,114999
Gene_825,GENE825,chr13,22488,108910
Gene_826,GENE826,chr15,56284,110981
Gene_827,GENE827,chr8,12130,180275
Gene_828,GENE828,chr8,94301,122857
Gene_829,GENE829,chr3,89520,178401
Gene_830,GENE830,chr1,70433,154310
Gene_831,GENE831,chr2,97467,147322
Gene_832,GENE832,chr13,16377,154280
Gene_833,GENE833,chr19,19681,179700
Gene_834,GENE834,chr11,67307,110535
Gene_835,GENE835,chr22,7483,114573
Gene_836,GENE836,chr9,71948,106254
Gene_837,GENE837,chr2,33575,136763
Gene_838,GENE838,chr16,31843,142264
Gene_839,GENE839,chr18,84730,133366
Gene_840,GENE840,chr4,93559,130460
Gene_841,GENE841,chr17,35508,102678
Gene_842,GENE842,chr5,19337,112089
Gene_843,GENE843,chr11,2765,130526
Gene_844,GENE844,chr4,30136,165665
Gene_845,GENE845,chr1,40484,117173
Gene_846,GENE846,chr16,99142,146146
Gene_847,GENE847,chr16,20712,126563
Gene_848,GENE848,chr16,1759,193202
Gene_849,GENE849,chr15,68241,198417
Gene_850,GENE850,chr5,26499,152242
Gene_851,GENE851,chr2,40178,165830
Gene_852,GENE852,chr7,65721,102805
Gene_853,GENE853,chr22,1219,131536
Gene_854,GENE854,chr15,43694,187148
Gene_855,GENE855,chr22,84541,124590
Gene_856,GENE856,chr11,87881,104535
Gene_857,GENE857,chr10,87549,174704
Gene_858,GENE858,chr3,30391,184804
Gene_859,GENE859,chr4,99293,109298
Gene_860,GENE860,chr16,43856,108259
Gene_861,GENE861,chr3,91117,178464
Gene_862,GENE862,chr9,32643,120338
Gene_863,GENE863,chr3,2284,182755
Gene_864,GENE864,chr5,23682,179996
Gene_865,GENE865,chr22,98530,197300
Gene_866,GENE866,chr2,61861,123106
Gene_867,GENE867,chr15,18031,103898
Gene_868,GENE868,chr8,69476,134054
Gene_869,GENE869,chr1,67840,126934
Gene_870,GENE870,chr21,67090,186197
Gene_871,GENE871,chr1,75426,186028
Gene_872,GENE872,chr2,58562,152512
Gene_873,GENE873,chr16,96562,146083
Gene_874,GENE874,chr15,70176,148386
Gene_875,GENE875,chr20,44263,197831
Gene_876,GENE876,chr9,27549,100422
Gene_877,GENE877,chr16,32912,128457
Gene_878,GENE878,chr21,85436,154770
Gene_879,GENE879,chr19,33737,108665
Gene_880,GENE880,chr19,48718,132374
Gene_881,GENE881,chr12,23751,188950
Gene_882,GENE882,chr14,3146,122543
Gene_883,GENE883,chr21,1133,138289
Gene_884,GENE884,chr7,97447,195927
Gene_885,GENE885,chr21,53116,110348
Gene_886,GENE886,chr13,58172,187806
Gene_887,GENE887,chr21,85505,169140
Gene_888,GENE888,chr13,68003,131167
Gene_889,GENE889,chr14,33025,124962
Gene_890,GENE890,chr9,93459,185159
Gene_891,GENE891,chr16,92563,114915
Gene_892,GENE892,chr16,16250,182223
Gene_893,GENE893,chr9,30222,132518
Gene_894,GENE894,chr4,63476,147099
Gene_895,GENE895,chr6,34633,133163
Gene_896,GENE896,chr13,48466,185050
Gene_897,GENE897,chr8,78564,193089
Gene_898,GENE898,chr11,10070,167747
Gene_899,GENE899,chr7,44381,136684
Gene_900,GENE900,chr12,50560,135178
Gene_901,GENE901,chr8,15808,148498
Gene_902,GENE902,chr10,57332,105966
Gene_903,GENE903,chr6,86575,156355
Gene_904,GENE904,chr7,23356,195140
Gene_905,GENE905,chr12,65972,101203
Gene_906,GENE906,chr7,55193,133346
Gene_907,GENE907,chr1,79976,120101
Gene_908,GENE908,chr15,59579,173034
Gene_909,GENE909,chr22,94872,185400
Gene_910,GENE910,chr14,85087,137206
Gene_911,GENE911,chr15,70769,196540
Gene_912,GENE912,chr7,16524,163822
Gene_913,GENE913,chr14,53418,138735
Gene_914,GENE914,chr3,85857,183866
Gene_915,GENE915,chr17,56332,188932
Gene_916,GENE916,chr1,58183,120271
Gene_917,GENE917,chr20,47422,192939
Gene_918,GENE918,chr12,17460,132327
Gene_919,GENE919,chr1,34042,148772
Gene_920,GENE920,chr3,76724,125266
Gene_921,GENE921,chr5,89534,170693
Gene_922,GENE922,chr15,72700,167746
Gene_923,GENE923,chr3,17278,180983
Gene_924,GENE924,chr13,33077,130474
Gene_925,GENE925,chr13,29880,103184
Gene_926,GENE926,chr15,92922,143345
Gene_927,GENE927,chr1,37458,119852
Gene_928,GENE928,chr1,35972,184529
Gene_929,GENE929,chr20,75466,181423
Gene_930,GENE930,chr22,1831,193386
Gene_931,GENE931,chr9,13834,108204
Gene_932,GENE932,chr21,90390,169598
Gene_933,GENE933,chr16,38834,112781
Gene_934,GENE934,chr15,64326,169701
Gene_935,GENE935,chr6,43169,189530
Gene_936,GENE936,chr6,50272,152954
Gene_937,GENE937,chr1,83124,128759
Gene_938,GENE938,chr8,20240,178256
Gene_939,GENE939,chr9,61305,118584
Gene_940,GENE940,chr4,91937,119997
Gene_941,GENE941,chr3,85755,166493
Gene_942,GENE942,chr8,40510,153429
Gene_943,GENE943,chr11,47153,167802
Gene_944,GENE944,chr17,43042,172376
Gene_945,GENE945,chr5,64287,154592
Gene_946,GENE946,chr11,42419,114727
Gene_947,GENE947,chr21,57837,101859
Gene_948,GENE948,chr20,43246,146712
Gene_949,GENE949,chr12,31433,132524
Gene_950,GENE950,chr17,74073,168977
Gene_951,GENE951,chr12,3450,175271
Gene_952,GENE952,chr7,77654,114276
Gene_953,GENE953,chr20,1259,116886
Gene_954,GENE954,chr18,60437,177117
Gene_955,GENE955,chr20,23256,161449
Gene_956,GENE956,chr6,55958,164086
Gene_957,GENE957,chr7,18838,109509
Gene_958,GENE958,chr18,92256,165598
Gene_959,GENE959,chr9,53981,119281
Gene_960,GENE960,chr19,73451,112677
Gene_961,GENE961,chr17,67562,147439
Gene_962,GENE962,chr3,26763,141627
Gene_963,GENE963,chr22,84429,104429
Gene_964,GENE964,chr3,50978,139792
Gene_965,GENE965,chr6,54228,182543
Gene_966,GENE966,chr18,14585,185370
Gene_967,GENE967,chr10,21225,140732
Gene_968,GENE968,chr16,55434,145913
Gene_969,GENE969,chr2,38090,150777
Gene_970,GENE970,chr16,37113,140987
Gene_971,GENE971,chr8,22839,132566
Gene_972,GENE972,chr17,24892,144966
Gene_973,GENE973,chr17,57554,169214
Gene_974,GENE974,chr5,26783,100063
Gene_975,GENE975,chr1,20765,132218
Gene_976,GENE976,chr14,16105,190508
Gene_977,GENE977,chr13,91329,197999
Gene_978,GENE978,chr12,78573,127340
Gene_979,GENE979,chr17,37287,106594
Gene_980,GENE980,chr15,68570,166680
Gene_981,GENE981,chr18,72191,178270
Gene_982,GENE982,chr12,89392,100069
Gene_983,GENE983,chr5,83069,157697
Gene_984,GENE984,chr15,94638,126835
Gene_985,GENE985,chr13,69074,133583
Gene_986,GENE986,chr6,55589,158881
Gene_987,GENE987,chr9,38793,181277
Gene_988,GENE988,chr2,24676,128006
Gene_989,GENE989,chr3,30980,115415
Gene_990,GENE990,chr9,37461,133535
Gene_991,GENE991,chr3,80428,116544
Gene_992,GENE992,chr18,93030,184876
Gene_993,GENE993,chr21,15331,127900
Gene_994,GENE994,chr12,47010,134242
Gene_995,GENE995,chr14,73106,121206
Gene_996,GENE996,chr12,22061,122111
Gene_997,GENE997,chr17,46519,197690
Gene_998,GENE998,chr1,27684,155753
Gene_999,GENE999,chr6,31433,168219
Gene_1000,GENE1000,chr7,29589,149619
Gene_1001,GENE1001,chr17,51135,194383
Gene_1002,GENE1002,chr2,12593,182708
Gene_1003,GENE1003,chr18,23915,194315
Gene_1004,GENE1004,chr9,2390,179232
Gene_1005,GENE1005,chr19,57910,148879
Gene_1006,GENE1006,chr10,50972,189114
Gene_1007,GENE1007,chr8,20637,173433
Gene_1008,GENE1008,chr6,89140,178472
Gene_1009,GENE1009,chr8,57143,107738
Gene_1010,GENE1010,chr22,65770,144058
Gene_1011,GENE1011,chr22,78185,169037
Gene_1012,GENE1012,chr18,88573,170750
Gene_1013,GENE1013,chr17,40708,170075
Gene_1014,GENE1014,chr20,60124,118362
Gene_1015,GENE1015,chr15,59249,184388
Gene_1016,GENE1016,chr17,67290,101676
Gene_1017,GENE1017,chr14,38561,154141
Gene_1018,GENE1018,chr7,58319,137147
Gene_1019,GENE1019,chr18,77661,112358
Gene_1020,GENE1020,chr4,10629,170992
Gene_1021,GENE1021,chr15,55035,109556
Gene_1022,GENE1022,chr17,80869,175724
Gene_1023,GENE1023,chr2,11025,196071
Gene_1024,GENE1024,chr18,64262,166350
Gene_1025,GENE1025,chr8,9562,168488
Gene_1026,GENE1026,chr12,83241,180653
Gene_1027,GENE1027,chr21,60106,161387
Gene_1028,GENE1028,chr3,16854,167671
Gene_1029,GENE1029,chr5,47377,135185
Gene_1030,GENE1030,chr4,73984,128425
Gene_1031,GENE1031,chr4,21787,175460
Gene_1032,GENE1032,chr7,18439,197228
Gene_1033,GENE1033,chr18,9660,105633
Gene_1034,GENE1034,chr15,70718,121801
Gene_1035,GENE1035,chr16,65500,182456
Gene_1036,GENE1036,chr20,97943,107094
Gene_1037,GENE1037,chr5,94013,115686
Gene_1038,GENE1038,chr3,4414,143036
Gene_1039,GENE1039,chr1,28258,181078
Gene_1040,GENE1040,chr10,8650,186717
Gene_1041,GENE1041,chr8,5738,128276
Gene_1042,GENE1042,chr15,77833,113908
Gene_1043,GENE1043,chr7,1412,111818
Gene_1044,GENE1044,chr16,85055,183293
Gene_1045,GENE1045,chr20,42690,145059
Gene_1046,GENE1046,chr19,74808,180980
Gene_1047,GENE1047,chr21,16005,117072
Gene_1048,GENE1048,chr21,94805,178314
Gene_1049,GENE1049,chr13,48291,183958
Gene_1050,GENE1050,chr15,50916,188603
Gene_1051,GENE1051,chr11,25334,176957
Gene_1052,GENE1052,chr14,74539,199370
Gene_1053,GENE1053,chr6,3473,135882
Gene_1054,GENE1054,chr3,67865,109627
Gene_1055,GENE1055,chr12,44126,129525
Gene_1056,GENE1056,chr13,1391,181503
Gene_1057,GENE1057,chr22,9505,118339
Gene_1058,GENE1058,chr13,48700,129627
Gene_1059,GENE1059,chr13,69750,186964
Gene_1060,GENE1060,chr22,88655,153820
Gene_1061,GENE1061,chr17,29537,124438
Gene_1062,GENE1062,chr9,30850,113846
Gene_1063,GENE1063,chr5,13929,108159
Gene_1064,GENE1064,chr10,18170,156732
Gene_1065,GENE1065,chr16,63635,121627
Gene_1066,GENE1066,chr16,66262,182680
Gene_1067,GENE1067,chr2,93179,199712
Gene_1068,GENE1068,chr6,12179,167853
Gene_1069,GENE1069,chr11,72458,150067
Gene_1070,GENE1070,chr12,9947,164654
Gene_1071,GENE1071,chr3,41320,160675
Gene_1072,GENE1072,chr18,9146,167242
Gene_1073,GENE1073,chr8,20457,151217
Gene_1074,GENE1074,chr3,48854,162270
Gene_1075,GENE1075,chr18,53320,194695
Gene_1076,GENE1076,chr11,3440,120998
Gene_1077,GENE1077,chr3,37871,147844
Gene_1078,GENE1078,chr12,1094,175003
Gene_1079,GENE1079,chr3,71417,154903
Gene_1080,GENE1080,chr12,97056,105613
Gene_1081,GENE1081,chr4,11426,180983
Gene_1082,GENE1082,chr11,91526,165299
Gene_1083,GENE1083,chr5,61709,151676
Gene_1084,GENE1084,chr1,7988,124990
Gene_1085,GENE1085,chr4,44948,186253
Gene_1086,GENE1086,chr10,78207,164984
Gene_1087,GENE1087,chr15,14973,148742
Gene_1088,GENE1088,chr4,65150,187577
Gene_1089,GENE1089,chr12,62825,184633
Gene_1090,GENE1090,chr16,76846,198181
Gene_1091,GENE1091,chr9,50558,124544
Gene_1092,GENE1092,chr13,61939,164963
Gene_1093,GENE1093,chr11,42254,141987
Gene_1094,GENE1094,chr1,86482,151696
Gene_1095,GENE1095,chr15,45840,157915
Gene_1096,GENE1096,chr20,18589,100662
Gene_1097,GENE1097,chr16,34056,191126
Gene_1098,GENE1098,chr19,35214,197212
Gene_1099,GENE1099,chr10,46140,113324
Gene_1100,GENE1100,chr6,17146,150735
Gene_1101,GENE1101,chr15,78866,127025
Gene_1102,GENE1102,chr21,26499,147329
Gene_1103,GENE1103,chr9,41577,146928
Gene_1104,GENE1104,chr14,92649,194557
Gene_1105,GENE1105,chr5,29661,128216
Gene_1106,GENE1106,chr1,40653,193306
Gene_1107,GENE1107,chr4,16115,164862
Gene_1108,GENE1108,chr11,76777,130534
Gene_1109,GENE1109,chr12,25014,101155
Gene_1110,GENE1110,chr13,46474,153782
Gene_1111,GENE1111,chr14,44687,136386
Gene_1112,GENE1112,chr4,55500,127075
Gene_1113,GENE1113,chr13,89521,192059
Gene_1114,GENE1114,chr15,24572,120822
Gene_1115,GENE1115,chr12,97566,183277
Gene_1116,GENE1116,chr14,90469,177370
Gene_1117,GENE1117,chr22,54718,186320
Gene_1118,GENE1118,chr16,94750,138489
Gene_1119,GENE1119,chr19,81470,160899
Gene_1120,GENE1120,chr7,68943,189913
Gene_1121,GENE1121,chr6,40580,189137
Gene_1122,GENE1122,chr10,31865,106491
Gene_1123,GENE1123,chr20,7127,123357
Gene_1124,GENE1124,chr1,3672,116945
Gene_1125,GENE1125,chr19,4530,136970
Gene_1126,GENE1126,chr15,81540,162343
Gene_1127,GENE1127,chr4,24807,128690
Gene_1128,GENE1128,chr11,43205,173380
Gene_1129,GENE1129,chr17,34372,156894
Gene_1130,GENE1130,chr3,64494,155041
Gene_1131,GENE1131,chr21,44889,170070
Gene_1132,GENE1132,chr6,23216,198134
Gene_1133,GENE1133,chr5,74250,102910
Gene_1134,GENE1134,chr18,34979,106025
Gene_1135,GENE1135,chr8,10195,126395
Gene_1136,GENE1136,chr7,31304,193922
Gene_1137,GENE1137,chr20,13745,157037
Gene_1138,GENE1138,chr19,9527,194025
Gene_1139,GENE1139,chr14,69016,145491
Gene_1140,GENE1140,chr15,63733,187567
Gene_1141,GENE1141,chr3,63950,109412
Gene_1142,GENE1142,chr2,60778,167449
Gene_1143,GENE1143,chr8,8475,113054
Gene_1144,GENE1144,chr9,15866,104255
Gene_1145,GENE1145,chr16,68145,104212
Gene_1146,GENE1146,chr18,95620,190352
Gene_1147,GENE1147,chr12,67972,186785
Gene_1148,GENE1148,chr1,72041,196314
Gene_1149,GENE1149,chr8,50851,117939
Gene_1150,GENE1150,chr11,13422,161714
Gene_1151,GENE1151,chr5,86723,131648
Gene_1152,GENE1152,chr2,97709,114824
Gene_1153,GENE1153,chr3,22244,121770
Gene_1154,GENE1154,chr15,14457,106399
Gene_1155,GENE1155,chr8,48744,110556
Gene_1156,GENE1156,chr20,88267,139301
Gene_1157,GENE1157,chr2,20985,154051
Gene_1158,GENE1158,chr1,86101,124772
Gene_1159,GENE1159,chr18,71296,177509
Gene_1160,GENE1160,chr11,56385,113173
Gene_1161,GENE1161,chr10,80402,157137
Gene_1162,GENE1162,chr14,51921,156771
Gene_1163,GENE1163,chr15,75259,161074
Gene_1164,GENE1164,chr22,2243,172303
Gene_1165,GENE1165,chr16,62940,121075
Gene_1166,GENE1166,chr22,76741,122807
Gene_1167,GENE1167,chr2,99737,143634
Gene_1168,GENE1168,chr14,99306,195179
Gene_1169,GENE1169,chr13,54300,112617
Gene_1170,GENE1170,chr17,92125,128114
Gene_1171,GENE1171,chr22,58307,104489
Gene_1172,GENE1172,chr5,63268,143436
Gene_1173,GENE1173,chr20,23931,191035
Gene_1174,GENE1174,chr18,80027,155842
Gene_1175,GENE1175,chr14,43747,113702
Gene_1176,GENE1176,chr11,22754,131905
Gene_1177,GENE1177,chr19,20447,199631
Gene_1178,GENE1178,chr17,64800,190762
Gene_1179,GENE1179,chr7,77725,190128
Gene_1180,GENE1180,chr13,11164,148628
Gene_1181,GENE1181,chr13,52022,122923
Gene_1182,GENE1182,chr19,30887,109762
Gene_1183,GENE1183,chr1,56713,116117
Gene_1184,GENE1184,chr9,43246,108249
Gene_1185,GENE1185,chr20,26122,123763
Gene_1186,GENE1186,chr1,69872,130276
Gene_1187,GENE1187,chr7,10775,129676
Gene_1188,GENE1188,chr8,90643,151725
Gene_1189,GENE1189,chr6,88960,149140
Gene_1190,GENE1190,chr20,36541,132697
Gene_1191,GENE1191,chr16,90989,112808
Gene_1192,GENE1192,chr3,5412,145633
Gene_1193,GENE1193,chr8,24609,165224
Gene_1194,GENE1194,chr3,38063,133582
Gene_1195,GENE1195,chr9,8066,172451
Gene_1196,GENE1196,chr18,16427,125585
Gene_1197,GENE1197,chr14,11724,140418
Gene_1198,GENE1198,chr15,56642,167100
Gene_1199,GENE1199,chr12,33849,113829
Gene_1200,GENE1200,chr3,89752,188720
Gene_1201,GENE1201,chr15,5139,130783
Gene_1202,GENE1202,chr4,63731,128045
Gene_1203,GENE1203,chr3,92978,142582
Gene_1204,GENE1204,chr1,14155,135637
Gene_1205,GENE1205,chr4,71015,108736
Gene_1206,GENE1206,chr12,54612,112705
Gene_1207,GENE1207,chr8,92722,108330
Gene_1208,GENE1208,chr11,73271,122925
Gene_1209,GENE1209,chr20,21193,197385
Gene_1210,GENE1210,chr12,33895,109025
Gene_1211,GENE1211,chr8,94484,184937
Gene_1212,GENE1212,chr19,69033,110140
Gene_1213,GENE1213,chr16,8997,105926
Gene_1214,GENE1214,chr12,2322,165820
Gene_1215,GENE1215,chr1,79680,154991
Gene_1216,GENE1216,chr19,81756,175367
Gene_1217,GENE1217,chr13,12363,168553
Gene_1218,GENE1218,chr12,62965,148836
Gene_1219,GENE1219,chr17,94439,156513
Gene_1220,GENE1220,chr11,25549,132725
Gene_1221,GENE1221,chr21,98231,163237
Gene_1222,GENE1222,chr20,29503,150831
Gene_1223,GENE1223,chr17,26230,174590
Gene_1224,GENE1224,chr3,14616,127166
Gene_1225,GENE1225,chr2,23295,169299
Gene_1226,GENE1226,chr7,1280,170708
Gene_1227,GENE1227,chr9,71835,167076
Gene_1228,GENE1228,chr15,4346,188086
Gene_1229,GENE1229,chr15,45870,144644
Gene_1230,GENE1230,chr15,54113,147601
Gene_1231,GENE1231,chr18,29642,107994
Gene_1232,GENE1232,chr7,26209,146185
Gene_1233,GENE1233,chr11,55102,146278
Gene_1234,GENE1234,chr13,12370,172334
Gene_1235,GENE1235,chr2,93886,170233
Gene_1236,GENE1236,chr18,75359,142812
Gene_1237,GENE1237,chr9,23634,113935
Gene_1238,GENE1238,chr18,5432,132982
Gene_1239,GENE1239,chr4,9741,157882
Gene_1240,GENE1240,chr4,30315,123603
Gene_1241,GENE1241,chr14,84307,197151
Gene_1242,GENE1242,chr21,12199,186911
Gene_1243,GENE1243,chr15,11372,123016
Gene_1244,GENE1244,chr16,17443,166756
Gene_1245,GENE1245,chr8,6439,119326
Gene_1246,GENE1246,chr16,96252,138623
Gene_1247,GENE1247,chr17,60180,136432
Gene_1248,GENE1248,chr14,11683,133120
Gene_1249,GENE1249,chr2,82160,178191
Gene_1250,GENE1250,chr21,43342,194727
Gene_1251,GENE1251,chr22,71311,148129
Gene_1252,GENE1252,chr16,31642,151885
Gene_1253,GENE1253,chr18,21470,192209
Gene_1254,GENE1254,chr6,42477,167953
Gene_1255,GENE1255,chr18,5830,120048
Gene_1256,GENE1256,chr3,16128,191760
Gene_1257,GENE1257,chr21,4834,136574
Gene_1258,GENE1258,chr19,25934,189144
Gene_1259,GENE1259,chr6,84083,192113
Gene_1260,GENE1260,chr5,23699,124762
Gene_1261,GENE1261,chr2,61062,154502
Gene_1262,GENE1262,chr18,69490,122981
Gene_1263,GENE1263,chr9,63152,184290
Gene_1264,GENE1264,chr11,90721,171839
Gene_1265,GENE1265,chr6,70542,173663
Gene_1266,GENE1266,chr13,38734,146439
Gene_1267,GENE1267,chr22,63062,139819
Gene_1268,GENE1268,chr20,89848,161001
Gene_1269,GENE1269,chr19,48696,110977
Gene_1270,GENE1270,chr19,1299,179055
Gene_1271,GENE1271,chr11,15363,179670
Gene_1272,GENE1272,chr14,90761,128558
Gene_1273,GENE1273,chr11,30846,135371
Gene_1274,GENE1274,chr22,9397,120388
Gene_1275,GENE1275,chr10,85649,183131
Gene_1276,GENE1276,chr15,25505,188286
Gene_1277,GENE1277,chr4,6668,104375
Gene_1278,GENE1278,chr4,22672,131244
Gene_1279,GENE1279,chr16,32063,193716
Gene_1280,GENE1280,chr10,70591,110511
Gene_1281,GENE1281,chr12,59817,133518
Gene_1282,GENE1282,chr13,87670,137774
Gene_1283,GENE1283,chr2,41045,109377
Gene_1284,GENE1284,chr15,55195,173585
Gene_1285,GENE1285,chr10,54863,153998
Gene_1286,GENE1286,chr1,85788,185282
Gene_1287,GENE1287,chr21,42085,194876
Gene_1288,GENE1288,chr12,6480,174338
Gene_1289,GENE1289,chr6,15640,153916
Gene_1290,GENE1290,chr9,82776,174899
Gene_1291,GENE1291,chr19,49214,187491
Gene_1292,GENE1292,chr20,7804,125679
Gene_1293,GENE1293,chr7,26119,126253
Gene_1294,GENE1294,chr1,71544,129291
Gene_1295,GENE1295,chr12,49657,162934
Gene_1296,GENE1296,chr7,92588,155914
Gene_1297,GENE1297,chr2,4370,176479
Gene_1298,GENE1298,chr22,94787,178793
Gene_1299,GENE1299,chr12,99825,104750
