peak_id,chromosome,start_pos,end_pos
Peak_872,chr12,57196,179072
Peak_873,chr21,10294,192042
Peak_874,chr21,38515,137512
Peak_875,chr13,65952,121828
Peak_876,chr2,14252,172034
Peak_877,chr21,83662,156631
Peak_878,chr15,43561,193340
Peak_879,chr2,9902,185226
Peak_880,chr21,71227,162872
Peak_881,chr7,86578,145096
Peak_882,chr4,75707,114533
Peak_883,chr13,16153,138610
Peak_884,chr2,75263,110468
Peak_885,chr4,41833,185576
Peak_886,chr8,64362,152881
Peak_887,chr22,7126,186935
Peak_888,chr11,77377,148635
Peak_889,chr9,56853,123605
Peak_890,chr6,18473,173825
Peak_891,chr4,37558,174700
Peak_892,chr3,62625,187927
Peak_893,chr13,2171,194790
Peak_894,chr7,5086,162973
Peak_895,chr4,29449,120283
Peak_896,chr16,66034,158785
Peak_897,chr17,54206,171305
Peak_898,chr12,96640,148236
Peak_899,chr14,54420,135552
Peak_900,chr22,2112,178776
Peak_901,chr11,54895,144311
Peak_902,chr1,9382,142102
Peak_903,chr8,30942,109513
Peak_904,chr2,40687,170587
Peak_905,chr11,84414,102223
Peak_906,chr20,16260,130299
Peak_907,chr14,71665,135286
Peak_908,chr17,84429,196485
Peak_909,chr20,23744,116463
Peak_910,chr15,41272,149580
Peak_911,chr18,85662,125226
Peak_912,chr10,54265,179363
Peak_913,chr8,40060,184000
Peak_914,chr16,41507,184315
Peak_915,chr9,95436,173897
Peak_916,chr5,37954,149439
Peak_917,chr8,33913,166431
Peak_918,chr8,92312,185445
Peak_919,chr11,22505,104070
Peak_920,chr19,38470,124618
Peak_921,chr18,52972,157788
Peak_922,chr19,95294,120411
Peak_923,chr7,22051,114390
Peak_924,chr7,91960,173688
Peak_925,chr1,58058,114323
Peak_926,chr2,51018,135705
Peak_927,chr16,55788,109548
Peak_928,chr3,22773,128326
Peak_929,chr18,34832,183712
Peak_930,chr16,56490,153816
Peak_931,chr9,49089,177755
Peak_932,chr6,85858,175880
Peak_933,chr7,99618,116929
Peak_934,chr7,87967,147077
Peak_935,chr11,88614,159479
Peak_936,chr16,4785,113257
Peak_937,chr5,17698,123040
Peak_938,chr11,5295,114845
Peak_939,chr19,42508,159255
Peak_940,chr5,99116,169858
Peak_941,chr12,70740,189469
Peak_942,chr15,67287,112419
Peak_943,chr6,38409,193035
Peak_944,chr16,53606,185882
Peak_945,chr22,70679,155565
Peak_946,chr12,18867,111190
Peak_947,chr21,15457,198181
Peak_948,chr5,60833,116072
Peak_949,chr8,4410,172728
Peak_950,chr14,50032,168072
Peak_951,chr3,20768,152250
Peak_952,chr20,29479,135730
Peak_953,chr20,76292,196524
Peak_954,chr8,87408,106393
Peak_955,chr2,5899,172620
Peak_956,chr4,75978,101805
Peak_957,chr18,74866,141542
Peak_958,chr8,16036,188113
Peak_959,chr4,22173,196335
Peak_960,chr20,22753,101260
Peak_961,chr7,35736,111749
Peak_962,chr12,74994,127700
Peak_963,chr8,63687,197807
Peak_964,chr12,34954,176732
Peak_965,chr17,19098,142254
Peak_966,chr10,74061,170258
Peak_967,chr4,14247,125556
Peak_968,chr6,53122,196465
Peak_969,chr4,10952,100252
Peak_970,chr16,35401,162525
Peak_971,chr16,89086,104073
Peak_972,chr1,84679,195898
Peak_973,chr19,76567,172535
Peak_974,chr13,66186,146294
Peak_975,chr11,52920,174357
Peak_976,chr21,30393,199845
Peak_977,chr2,95055,125036
Peak_978,chr12,23466,137988
Peak_979,chr9,92120,135860
Peak_980,chr21,9313,115893
Peak_981,chr2,65699,187123
Peak_982,chr16,62923,136707
Peak_983,chr20,30518,164544
Peak_984,chr14,28033,163677
Peak_985,chr5,87575,184967
Peak_986,chr14,12054,120971
Peak_987,chr22,1313,106906
Peak_988,chr19,92803,114387
Peak_989,chr13,44555,124100
Peak_990,chr9,85306,128532
Peak_991,chr14,39486,143041
Peak_992,chr4,30215,159240
Peak_993,chr16,91233,189413
Peak_994,chr3,9686,110340
Peak_995,chr18,33361,142019
Peak_996,chr14,90170,150301
Peak_997,chr8,63695,149416
Peak_998,chr5,96195,156783
Peak_999,chr20,38048,126937
Peak_1000,chr6,20103,115810
Peak_1001,chr20,79660,137350
Peak_1002,chr14,10028,169449
Peak_1003,chr22,17463,188773
Peak_1004,chr3,57235,149079
Peak_1005,chr12,26726,170443
Peak_1006,chr8,5047,164678
Peak_1007,chr16,47579,151127
Peak_1008,chr7,62894,184224
Peak_1009,chr8,61863,173601
Peak_1010,chr8,42260,135533
Peak_1011,chr9,26478,150180
Peak_1012,chr14,16476,128470
Peak_1013,chr15,75578,169730
Peak_1014,chr8,71569,150936
Peak_1015,chr1,89577,100078
Peak_1016,chr14,9870,164312
Peak_1017,chr11,59780,106654
Peak_1018,chr5,70984,103232
Peak_1019,chr22,36465,115650
Peak_1020,chr15,35500,150298
Peak_1021,chr21,53186,168322
Peak_1022,chr13,54828,149550
Peak_1023,chr15,58126,192035
Peak_1024,chr13,57522,175758
Peak_1025,chr12,56788,104573
Peak_1026,chr18,61373,152439
Peak_1027,chr8,11724,174560
Peak_1028,chr16,76482,110170
Peak_1029,chr12,20774,168506
Peak_1030,chr4,47213,164316
Peak_1031,chr22,95885,144916
Peak_1032,chr14,51534,184371
Peak_1033,chr13,13301,133298
Peak_1034,chr8,84892,103476
Peak_1035,chr22,14885,166976
Peak_1036,chr17,15834,188285
Peak_1037,chr13,4750,122483
Peak_1038,chr3,3900,199076
Peak_1039,chr21,95083,181694
Peak_1040,chr14,97202,183049
Peak_1041,chr18,42732,163933
Peak_1042,chr1,40360,181719
Peak_1043,chr19,22734,144680
Peak_1044,chr5,64072,143759
Peak_1045,chr12,59049,165928
Peak_1046,chr16,28842,182146
Peak_1047,chr21,64413,134230
Peak_1048,chr13,68770,186539
Peak_1049,chr9,86148,185818
Peak_1050,chr12,31745,124850
Peak_1051,chr10,46904,169010
Peak_1052,chr4,30982,134434
Peak_1053,chr3,54442,138590
Peak_1054,chr19,1156,170418
Peak_1055,chr17,21278,177459
Peak_1056,chr11,23438,103962
Peak_1057,chr19,38922,135647
Peak_1058,chr21,27696,110361
Peak_1059,chr1,88073,146399
Peak_1060,chr11,20904,188389
Peak_1061,chr6,59738,180769
Peak_1062,chr11,43030,113991
Peak_1063,chr1,83146,140890
Peak_1064,chr21,53364,147732
Peak_1065,chr2,80812,177645
Peak_1066,chr2,67725,102699
Peak_1067,chr21,73953,183062
Peak_1068,chr10,79567,150186
Peak_1069,chr18,62525,127091
Peak_1070,chr6,85598,131686
Peak_1071,chr13,62470,121705
Peak_1072,chr3,57788,129013
Peak_1073,chr12,87796,183449
Peak_1074,chr9,60294,149481
Peak_1075,chr3,74140,137985
Peak_1076,chr8,29143,112988
Peak_1077,chr6,2359,194798
Peak_1078,chr11,24915,176739
Peak_1079,chr14,36877,146453
Peak_1080,chr19,56226,125969
Peak_1081,chr19,12584,178982
Peak_1082,chr1,82940,191112
Peak_1083,chr5,53627,181605
Peak_1084,chr17,54646,196795
Peak_1085,chr15,72556,171850
Peak_1086,chr16,94510,164561
Peak_1087,chr5,3213,156497
Peak_1088,chr18,80122,196272
Peak_1089,chr7,71290,141967
Peak_1090,chr8,91760,125281
Peak_1091,chr13,27013,189934
Peak_1092,chr13,79309,112012
Peak_1093,chr18,97512,105151
Peak_1094,chr6,89918,127931
Peak_1095,chr10,49070,159628
Peak_1096,chr5,95350,163626
Peak_1097,chr10,57042,127279
Peak_1098,chr20,31909,145414
Peak_1099,chr7,99209,103300
Peak_1100,chr16,65364,128858
Peak_1101,chr15,31275,169957
Peak_1102,chr7,92636,143606
Peak_1103,chr3,16737,144991
Peak_1104,chr6,20504,147660
Peak_1105,chr18,57643,152517
Peak_1106,chr17,50999,165210
Peak_1107,chr9,66551,142760
Peak_1108,chr11,16018,173087
Peak_1109,chr21,55258,162237
Peak_1110,chr6,9436,195233
Peak_1111,chr19,9942,193410
Peak_1112,chr8,84966,184613
Peak_1113,chr19,69175,181821
Peak_1114,chr14,94020,140332
Peak_1115,chr10,3329,139429
Peak_1116,chr6,5964,111812
Peak_1117,chr21,9220,110211
Peak_1118,chr14,19524,183270
Peak_1119,chr8,4829,181097
Peak_1120,chr10,42884,189821
Peak_1121,chr8,24168,142122
Peak_1122,chr6,81444,157885
Peak_1123,chr18,14364,107288
Peak_1124,chr6,38372,139278
Peak_1125,chr22,35976,186484
Peak_1126,chr9,43505,108561
Peak_1127,chr9,39678,179899
Peak_1128,chr6,9428,115045
Peak_1129,chr21,5555,158387
Peak_1130,chr9,16094,181141
Peak_1131,chr10,51411,159123
Peak_1132,chr16,53601,119671
Peak_1133,chr11,36572,166128
Peak_1134,chr9,61864,116353
Peak_1135,chr18,9220,172881
Peak_1136,chr19,70706,199340
Peak_1137,chr14,21951,189571
Peak_1138,chr8,99214,171476
Peak_1139,chr9,12734,156198
Peak_1140,chr7,49006,155599
Peak_1141,chr12,46460,168850
Peak_1142,chr4,61337,197114
Peak_1143,chr7,28158,174096
Peak_1144,chr12,73541,119505
Peak_1145,chr9,54875,154005
Peak_1146,chr2,13773,187021
Peak_1147,chr1,94853,113339
Peak_1148,chr2,18870,182983
Peak_1149,chr6,35725,138483
Peak_1150,chr15,5559,123079
Peak_1151,chr15,86302,105836
Peak_1152,chr12,81066,187613
Peak_1153,chr19,51773,152587
Peak_1154,chr6,32531,122968
Peak_1155,chr6,94919,125685
Peak_1156,chr8,92101,182618
Peak_1157,chr20,29624,115584
Peak_1158,chr7,30436,101634
Peak_1159,chr2,48214,177651
Peak_1160,chr19,78148,138311
Peak_1161,chr5,85535,148447
Peak_1162,chr11,84998,179521
Peak_1163,chr17,85269,126306
Peak_1164,chr21,63503,107970
Peak_1165,chr19,27321,152923
Peak_1166,chr18,85197,109721
Peak_1167,chr7,78653,156060
Peak_1168,chr12,57237,161315
Peak_1169,chr18,92841,177601
Peak_1170,chr19,21539,172072
Peak_1171,chr4,36982,186270
Peak_1172,chr15,41801,131151
Peak_1173,chr10,61612,155036
Peak_1174,chr6,15947,189558
Peak_1175,chr1,57112,119412
Peak_1176,chr4,72992,173998
Peak_1177,chr7,78063,195391
Peak_1178,chr6,61774,113687
Peak_1179,chr8,23464,140497
Peak_1180,chr1,14520,134862
Peak_1181,chr21,75251,191748
Peak_1182,chr8,33518,103166
Peak_1183,chr10,43621,127399
Peak_1184,chr13,90474,171557
Peak_1185,chr22,34873,136846
Peak_1186,chr9,87277,106895
Peak_1187,chr22,25664,120249
Peak_1188,chr7,5458,121374
Peak_1189,chr17,93642,116908
Peak_1190,chr7,50618,155194
Peak_1191,chr13,15000,138431
Peak_1192,chr16,73420,158902
Peak_1193,chr12,44304,189988
Peak_1194,chr8,7946,181580
Peak_1195,chr11,80798,114119
Peak_1196,chr15,52609,133027
Peak_1197,chr6,27028,124585
Peak_1198,chr2,40966,100960
Peak_1199,chr20,44550,172046
Peak_1200,chr17,72200,143705
Peak_1201,chr7,57266,156368
Peak_1202,chr20,40855,182949
Peak_1203,chr14,64762,146167
Peak_1204,chr8,17292,166023
Peak_1205,chr15,86694,140576
Peak_1206,chr19,77633,154904
Peak_1207,chr8,93633,150144
Peak_1208,chr4,90537,184408
Peak_1209,chr20,62940,162790
Peak_1210,chr1,28142,171786
Peak_1211,chr12,35512,197899
Peak_1212,chr16,64885,123261
Peak_1213,chr15,3263,166457
Peak_1214,chr6,54552,178293
Peak_1215,chr15,10873,199909
Peak_1216,chr8,64972,121833
Peak_1217,chr10,26613,163369
Peak_1218,chr18,36985,131688
Peak_1219,chr7,15020,151719
Peak_1220,chr3,40692,122450
Peak_1221,chr2,11501,185617
Peak_1222,chr20,1180,187386
Peak_1223,chr12,28886,176260
Peak_1224,chr5,75050,188721
Peak_1225,chr3,49145,109193
Peak_1226,chr14,81279,128683
Peak_1227,chr16,53026,116091
Peak_1228,chr7,46087,134451
Peak_1229,chr14,89086,150486
Peak_1230,chr4,83506,129476
Peak_1231,chr19,36674,186529
Peak_1232,chr6,97079,156764
Peak_1233,chr15,61308,192167
Peak_1234,chr5,62182,183896
Peak_1235,chr12,63388,127873
Peak_1236,chr22,79875,117183
Peak_1237,chr21,6355,128694
Peak_1238,chr11,21036,167720
Peak_1239,chr16,34898,125545
Peak_1240,chr11,42759,115144
Peak_1241,chr1,55410,120394
Peak_1242,chr21,67497,139194
Peak_1243,chr13,73610,114620
Peak_1244,chr22,51643,175122
Peak_1245,chr3,54972,164303
Peak_1246,chr14,40013,172648
Peak_1247,chr13,15511,142368
Peak_1248,chr20,4624,169174
Peak_1249,chr5,63663,186116
Peak_1250,chr20,95735,184488
Peak_1251,chr11,17100,190390
Peak_1252,chr14,79066,120103
Peak_1253,chr13,46779,102064
Peak_1254,chr13,11364,179425
Peak_1255,chr14,68575,134443
Peak_1256,chr20,8979,107188
Peak_1257,chr4,61875,192007
Peak_1258,chr11,80498,101597
Peak_1259,chr2,41927,192880
Peak_1260,chr1,21630,149249
Peak_1261,chr20,20703,169357
Peak_1262,chr8,61154,153296
Peak_1263,chr19,26770,144077
Peak_1264,chr8,71011,181802
Peak_1265,chr17,11396,103226
Peak_1266,chr18,7154,102848
Peak_1267,chr1,72203,149694
Peak_1268,chr15,46780,194192
Peak_1269,chr17,43232,151444
Peak_1270,chr18,7506,123804
Peak_1271,chr9,4041,114893
Peak_1272,chr15,10019,142203
Peak_1273,chr3,68591,177765
Peak_1274,chr7,6099,185006
Peak_1275,chr9,36763,141207
Peak_1276,chr10,65533,168055
Peak_1277,chr2,9471,136882
Peak_1278,chr13,24484,120559
Peak_1279,chr8,95523,114623
Peak_1280,chr21,73338,192820
Peak_1281,chr3,18534,113627
Peak_1282,chr21,78939,171933
Peak_1283,chr2,11201,179248
Peak_1284,chr17,49045,185332
Peak_1285,chr6,64490,192584
Peak_1286,chr14,10705,152459
Peak_1287,chr1,10452,107962
Peak_1288,chr18,86544,196858
Peak_1289,chr12,44761,106811
Peak_1290,chr5,57757,156140
Peak_1291,chr7,71053,182075
Peak_1292,chr1,81210,182127
Peak_1293,chr3,44751,175521
Peak_1294,chr21,57695,162184
Peak_1295,chr1,50488,111072
Peak_1296,chr9,64100,112821
Peak_1297,chr16,96010,101825
Peak_1298,chr4,5289,106483
Peak_1299,chr16,19244,110777
Peak_1300,chr19,78016,150221
Peak_1301,chr14,35244,189798
Peak_1302,chr7,66543,120806
Peak_1303,chr20,99331,176259
Peak_1304,chr14,81110,114533
Peak_1305,chr13,32111,121900
Peak_1306,chr12,33260,195091
Peak_1307,chr3,30130,199531
Peak_1308,chr1,51759,157092
Peak_1309,chr5,65789,100806
Peak_1310,chr10,83803,155825
Peak_1311,chr13,49993,198094
Peak_1312,chr17,61612,164941
Peak_1313,chr17,96786,100580
Peak_1314,chr5,55248,144853
Peak_1315,chr10,5097,123701
Peak_1316,chr14,77287,199828
Peak_1317,chr14,85906,195348
Peak_1318,chr20,59933,154048
Peak_1319,chr18,85501,198595
Peak_1320,chr4,71651,113613
Peak_1321,chr20,19594,112809
Peak_1322,chr15,23380,190007
Peak_1323,chr4,32676,166662
Peak_1324,chr5,55051,163155
Peak_1325,chr7,57973,106577
Peak_1326,chr15,8517,124699
Peak_1327,chr10,24748,176328
Peak_1328,chr6,26369,147830
Peak_1329,chr15,22447,157633
Peak_1330,chr1,23888,152536
Peak_1331,chr18,72261,108145
Peak_1332,chr7,79756,195267
Peak_1333,chr2,21145,132082
Peak_1334,chr14,59664,105570
Peak_1335,chr22,15606,198163
Peak_1336,chr5,15249,155553
Peak_1337,chr1,23363,134903
Peak_1338,chr16,20671,147439
Peak_1339,chr16,54309,116181
Peak_1340,chr17,34812,131410
Peak_1341,chr12,97390,188517
Peak_1342,chr10,22272,137687
Peak_1343,chr10,68740,118885
Peak_1344,chr6,92705,154920
Peak_1345,chr7,60591,139803
Peak_1346,chr18,35823,162000
Peak_1347,chr21,70751,123458
Peak_1348,chr6,40586,191699
Peak_1349,chr22,26580,145502
Peak_1350,chr15,70507,187131
Peak_1351,chr5,15836,197940
Peak_1352,chr11,15883,101566
Peak_1353,chr15,17762,178282
Peak_1354,chr20,56556,174868
Peak_1355,chr3,34821,143397
Peak_1356,chr14,55597,142668
Peak_1357,chr1,45171,178774
Peak_1358,chr1,76391,133508
Peak_1359,chr5,54196,135380
Peak_1360,chr12,35461,109566
Peak_1361,chr4,80622,107406
Peak_1362,chr7,92223,103782
Peak_1363,chr5,22945,196925
Peak_1364,chr6,73164,107842
Peak_1365,chr20,63696,166674
Peak_1366,chr17,45418,132796
Peak_1367,chr13,19036,131992
Peak_1368,chr9,65622,155627
Peak_1369,chr2,59261,168486
Peak_1370,chr12,10187,179567
Peak_1371,chr17,91065,109550
Peak_1372,chr19,20372,123773
Peak_1373,chr18,23370,129322
Peak_1374,chr16,65037,181828
Peak_1375,chr5,56321,172911
Peak_1376,chr17,87917,197566
Peak_1377,chr3,43859,179523
Peak_1378,chr17,34005,198334
Peak_1379,chr13,51588,135216
Peak_1380,chr13,29336,122931
Peak_1381,chr13,7184,175520
Peak_1382,chr5,1821,169285
Peak_1383,chr6,51097,103542
Peak_1384,chr9,35823,108239
Peak_1385,chr13,92216,175000
Peak_1386,chr8,48329,197867
Peak_1387,chr1,15668,138758
Peak_1388,chr19,64062,190986
Peak_1389,chr13,27450,197462
Peak_1390,chr18,80734,149894
Peak_1391,chr6,18316,118623
Peak_1392,chr10,70430,195487
Peak_1393,chr2,17290,183324
Peak_1394,chr20,29486,143779
Peak_1395,chr4,1614,178146
Peak_1396,chr6,60426,195816
Peak_1397,chr10,47824,112209
Peak_1398,chr17,55894,109152
Peak_1399,chr17,76668,185625
Peak_1400,chr8,32429,190506
Peak_1401,chr4,46870,124469
Peak_1402,chr2,69856,176703
Peak_1403,chr18,73168,182658
Peak_1404,chr13,67346,130075
Peak_1405,chr7,39050,180450
Peak_1406,chr16,92946,178757
Peak_1407,chr16,71855,102574
Peak_1408,chr16,92994,114723
Peak_1409,chr17,69291,179501
Peak_1410,chr1,51229,139476
Peak_1411,chr6,89716,183736
Peak_1412,chr2,31264,195131
Peak_1413,chr13,52822,175860
Peak_1414,chr4,44654,121279
Peak_1415,chr8,81618,136940
Peak_1416,chr13,18638,164372
Peak_1417,chr18,32665,159977
Peak_1418,chr17,6605,198598
Peak_1419,chr9,50626,195895
Peak_1420,chr14,20725,120138
Peak_1421,chr11,32487,193698
Peak_1422,chr5,64874,191575
Peak_1423,chr5,98673,155783
Peak_1424,chr6,49633,193651
Peak_1425,chr4,26973,130527
Peak_1426,chr15,6069,135009
Peak_1427,chr19,94839,129381
Peak_1428,chr3,48046,154419
Peak_1429,chr21,74120,126656
Peak_1430,chr17,36033,146433
Peak_1431,chr20,52863,187799
Peak_1432,chr14,17658,117225
Peak_1433,chr8,5553,176019
Peak_1434,chr17,2634,167512
Peak_1435,chr2,93083,159259
Peak_1436,chr3,8651,160410
Peak_1437,chr16,50950,113839
Peak_1438,chr14,94668,115351
Peak_1439,chr16,51456,194138
Peak_1440,chr20,61352,173185
Peak_1441,chr2,74016,179442
Peak_1442,chr13,23199,168867
Peak_1443,chr8,38626,143272
Peak_1444,chr6,27881,123105
Peak_1445,chr11,32288,111476
Peak_1446,chr6,92318,108637
Peak_1447,chr2,53867,174210
Peak_1448,chr7,25627,160280
Peak_1449,chr19,15642,175892
Peak_1450,chr1,48214,111354
Peak_1451,chr2,72876,101567
Peak_1452,chr11,75309,148259
Peak_1453,chr3,33353,199076
Peak_1454,chr1,36666,131080
Peak_1455,chr9,20022,192069
Peak_1456,chr6,31234,130134
Peak_1457,chr2,55594,191580
Peak_1458,chr22,62679,138446
Peak_1459,chr15,9161,129255
Peak_1460,chr12,91957,116554
Peak_1461,chr6,13861,106209
Peak_1462,chr11,95455,143096
Peak_1463,chr18,23341,163144
Peak_1464,chr10,73329,111879
Peak_1465,chr1,19190,177969
Peak_1466,chr15,63392,107738
Peak_1467,chr7,21932,133433
Peak_1468,chr7,29868,175705
Peak_1469,chr12,97171,138812
Peak_1470,chr10,41554,126512
Peak_1471,chr21,47018,159614
Peak_1472,chr3,40292,182514
Peak_1473,chr13,68448,143527
Peak_1474,chr7,41130,131153
Peak_1475,chr21,3687,123174
Peak_1476,chr20,40910,189312
Peak_1477,chr12,92154,117129
Peak_1478,chr2,25979,180479
Peak_1479,chr14,80964,145152
Peak_1480,chr10,40815,177273
Peak_1481,chr6,47497,171163
Peak_1482,chr3,18002,165645
Peak_1483,chr22,84527,116412
Peak_1484,chr16,9411,132653
Peak_1485,chr13,47115,170720
Peak_1486,chr6,56318,130554
Peak_1487,chr3,22237,109691
Peak_1488,chr5,6104,142299
Peak_1489,chr14,56768,124304
Peak_1490,chr4,13012,187507
Peak_1491,chr14,34091,123210
Peak_1492,chr21,42000,135580
Peak_1493,chr10,1089,110377
Peak_1494,chr18,8988,126365
Peak_1495,chr3,71328,115720
Peak_1496,chr18,31578,121684
Peak_1497,chr14,91144,157724
Peak_1498,chr9,6600,130178
Peak_1499,chr6,46769,102068
Peak_1500,chr5,17171,129422
Peak_1501,chr2,39128,117922
Peak_1502,chr12,85565,122727
Peak_1503,chr6,73970,141838
Peak_1504,chr18,55895,162626
Peak_1505,chr9,91384,196579
Peak_1506,chr1,68089,121588
Peak_1507,chr19,83759,120161
Peak_1508,chr21,51109,131200
Peak_1509,chr17,83423,139328
Peak_1510,chr14,10543,172417
Peak_1511,chr1,16122,191418
Peak_1512,chr15,75526,153854
Peak_1513,chr18,53802,158466
Peak_1514,chr17,71565,157635
Peak_1515,chr16,56005,170847
Peak_1516,chr2,17983,108962
Peak_1517,chr17,11101,117061
Peak_1518,chr6,44972,156403
Peak_1519,chr22,28622,155968
Peak_1520,chr1,33852,177646
Peak_1521,chr17,59544,195918
Peak_1522,chr11,61037,101282
Peak_1523,chr19,23551,183477
Peak_1524,chr12,49323,144095
Peak_1525,chr10,34705,145981
Peak_1526,chr22,88031,135005
Peak_1527,chr11,8471,123914
Peak_1528,chr8,53437,109289
Peak_1529,chr21,72696,197568
Peak_1530,chr5,87158,103399
Peak_1531,chr19,24788,143009
Peak_1532,chr1,30208,185756
Peak_1533,chr22,28358,156638
Peak_1534,chr18,36408,118761
Peak_1535,chr22,25672,179358
Peak_1536,chr2,83682,156854
Peak_1537,chr3,61429,152443
Peak_1538,chr14,73192,128457
Peak_1539,chr12,81915,178431
Peak_1540,chr14,39387,182793
Peak_1541,chr12,88734,111514
Peak_1542,chr8,9045,116866
Peak_1543,chr13,24840,137982
Peak_1544,chr20,78554,129384
Peak_1545,chr18,93535,171584
Peak_1546,chr10,46310,103241
Peak_1547,chr5,63763,145071
Peak_1548,chr13,78675,150244
Peak_1549,chr12,2332,144768
Peak_1550,chr11,55754,121272
Peak_1551,chr10,2768,135620
Peak_1552,chr16,7950,148405
Peak_1553,chr14,48470,119687
Peak_1554,chr4,53449,156538
Peak_1555,chr21,57926,138868
Peak_1556,chr18,51324,164848
Peak_1557,chr18,49800,118663
Peak_1558,chr7,84747,147375
Peak_1559,chr8,74070,125773
Peak_1560,chr4,80424,175387
Peak_1561,chr5,13460,198065
Peak_1562,chr6,81268,162489
Peak_1563,chr1,40595,184205
Peak_1564,chr15,70479,176671
Peak_1565,chr15,81839,173995
Peak_1566,chr14,84639,163132
Peak_1567,chr8,78488,167124
Peak_1568,chr9,68304,146386
Peak_1569,chr3,62590,183562
Peak_1570,chr19,22348,125610
Peak_1571,chr2,72824,141978
Peak_1572,chr5,41826,150246
Peak_1573,chr7,15375,150718
Peak_1574,chr2,20382,114323
Peak_1575,chr2,48277,164181
Peak_1576,chr8,36925,125602
Peak_1577,chr6,80487,100490
Peak_1578,chr7,6866,155369
Peak_1579,chr20,79165,160964
Peak_1580,chr1,3383,193099
Peak_1581,chr5,49975,180094
Peak_1582,chr10,17692,197839
Peak_1583,chr9,6221,174560
Peak_1584,chr4,93715,160772
Peak_1585,chr12,83032,140835
Peak_1586,chr5,10455,186543
Peak_1587,chr6,38934,186438
Peak_1588,chr21,31008,111704
Peak_1589,chr14,92965,141766
Peak_1590,chr9,70503,100316
Peak_1591,chr19,2921,186637
Peak_1592,chr19,77563,161659
Peak_1593,chr2,65123,194139
Peak_1594,chr18,21403,185691
Peak_1595,chr5,21524,107425
Peak_1596,chr5,96830,164004
Peak_1597,chr15,97908,158476
Peak_1598,chr8,6300,102779
Peak_1599,chr2,55529,141999
Peak_1600,chr4,21172,108902
Peak_1601,chr11,91026,132468
Peak_1602,chr3,89331,128754
Peak_1603,chr22,65605,120429
Peak_1604,chr5,67303,156259
Peak_1605,chr5,57216,193016
Peak_1606,chr17,88230,131861
Peak_1607,chr18,23183,108892
Peak_1608,chr20,90065,113760
Peak_1609,chr21,65868,145956
Peak_1610,chr6,15273,165103
Peak_1611,chr9,61274,105241
Peak_1612,chr14,74013,183612
Peak_1613,chr5,16138,162530
Peak_1614,chr13,37980,155655
Peak_1615,chr2,58521,199365
Peak_1616,chr3,98799,187746
Peak_1617,chr9,93372,135528
Peak_1618,chr12,24946,195142
Peak_1619,chr17,63341,169550
Peak_1620,chr22,25912,136367
Peak_1621,chr15,75808,116165
Peak_1622,chr9,90050,178732
Peak_1623,chr11,4006,101831
Peak_1624,chr18,97066,101220
Peak_1625,chr5,13135,197940
Peak_1626,chr1,35814,127337
Peak_1627,chr12,86061,134786
Peak_1628,chr16,36722,162987
Peak_1629,chr6,95685,116412
Peak_1630,chr1,17761,161758
Peak_1631,chr18,23088,146979
Peak_1632,chr15,68820,126484
Peak_1633,chr21,24421,185039
Peak_1634,chr11,59419,189713
Peak_1635,chr6,78311,189900
Peak_1636,chr20,89482,115588
Peak_1637,chr1,84382,149613
Peak_1638,chr17,56268,155812
Peak_1639,chr13,76270,147783
Peak_1640,chr12,63619,161819
Peak_1641,chr14,54909,110748
Peak_1642,chr13,21771,148508
Peak_1643,chr7,58077,150067
Peak_1644,chr13,57725,108872
Peak_1645,chr19,44762,164159
Peak_1646,chr5,77854,148062
Peak_1647,chr18,47802,144375
Peak_1648,chr22,63558,107807
Peak_1649,chr15,19244,180767
Peak_1650,chr12,31019,107417
Peak_1651,chr3,23701,191068
Peak_1652,chr20,31823,130765
Peak_1653,chr19,96658,163565
Peak_1654,chr4,77869,147131
Peak_1655,chr11,78600,109335
Peak_1656,chr1,14057,128875
Peak_1657,chr2,8164,117124
Peak_1658,chr16,40995,109259
Peak_1659,chr16,18475,130745
Peak_1660,chr15,14251,106609
Peak_1661,chr15,13263,105789
Peak_1662,chr17,51429,167682
Peak_1663,chr5,15780,169590
Peak_1664,chr3,93246,137965
Peak_1665,chr18,52000,195362
Peak_1666,chr17,17665,152328
Peak_1667,chr10,21598,142444
Peak_1668,chr15,47874,135336
Peak_1669,chr14,38054,154924
Peak_1670,chr7,71018,120518
Peak_1671,chr9,56810,136160
Peak_1672,chr15,64272,184241
Peak_1673,chr10,47058,121294
Peak_1674,chr21,78296,105880
Peak_1675,chr8,9333,136118
Peak_1676,chr5,35426,197990
Peak_1677,chr13,16350,187994
Peak_1678,chr13,67086,152010
Peak_1679,chr16,19389,189275
Peak_1680,chr14,58421,169219
Peak_1681,chr3,59700,120537
Peak_1682,chr14,56918,136611
Peak_1683,chr22,11674,169835
Peak_1684,chr5,68540,142479
Peak_1685,chr8,57463,130676
Peak_1686,chr10,57488,124882
Peak_1687,chr8,32450,186287
Peak_1688,chr18,72658,170249
Peak_1689,chr7,94610,138167
Peak_1690,chr12,4637,122787
Peak_1691,chr6,89161,180252
Peak_1692,chr17,13209,191950
Peak_1693,chr5,95780,168114
Peak_1694,chr4,50623,109717
Peak_1695,chr16,45387,192661
Peak_1696,chr8,41578,169013
Peak_1697,chr4,67806,131917
Peak_1698,chr7,95516,119950
Peak_1699,chr17,78004,143652
Peak_1700,chr4,84900,119924
